2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: conditions_2025-12-31.csv (229 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: conditions_2026-01-31.csv (197 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: conditions_2026-02-28.csv (209 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: conditions_2026-03-31.csv (123 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Segmenting medications (date_col=START)...
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_base.csv (16755 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2025-04-30.csv (375 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2025-05-31.csv (353 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2025-06-30.csv (295 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2025-07-31.csv (322 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2025-08-31.csv (291 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2025-09-30.csv (232 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2025-10-31.csv (239 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2025-11-30.csv (232 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2025-12-31.csv (265 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2026-01-31.csv (248 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2026-02-28.csv (267 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Written: medications_2026-03-31.csv (164 rows)
2026-03-25 16:15:10 | INFO     | pipeline.synthea_segmenter | Segmenting procedures (date_col=START)...
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_base.csv (46510 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2025-04-30.csv (1569 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2025-05-31.csv (1534 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2025-06-30.csv (1250 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2025-07-31.csv (1341 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2025-08-31.csv (1301 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2025-09-30.csv (1224 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2025-10-31.csv (1173 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2025-11-30.csv (1132 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2025-12-31.csv (1236 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2026-01-31.csv (1158 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2026-02-28.csv (1215 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Written: procedures_2026-03-31.csv (745 rows)
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Copied static table: patients.csv -> patients_base.csv
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Copied static table: organizations.csv -> organizations_base.csv
2026-03-25 16:15:11 | INFO     | pipeline.synthea_segmenter | Segmentation complete. Output: D:\Python Projects\Hospital readmission risk\data\raw\segmented\mock
2026-03-25 16:15:29 | INFO     | pipeline.bq_loader | Creating dataset: healthcare-test-486920.raw_data
2026-03-25 16:15:30 | INFO     | pipeline.bq_loader | Loading CSV into BigQuery table: healthcare-test-486920.raw_data.careplans
2026-03-25 16:15:36 | INFO     | pipeline.bq_loader | Loaded 2067 rows into healthcare-test-486920.raw_data.careplans
2026-03-25 16:15:36 | INFO     | pipeline.bq_loader | Loading CSV into BigQuery table: healthcare-test-486920.raw_data.claims
2026-03-25 16:15:45 | INFO     | pipeline.bq_loader | Loaded 40790 rows into healthcare-test-486920.raw_data.claims
2026-03-25 16:15:45 | INFO     | pipeline.bq_loader | Loading CSV into BigQuery table: healthcare-test-486920.raw_data.conditions
2026-03-25 16:15:50 | INFO     | pipeline.bq_loader | Loaded 16900 rows into healthcare-test-486920.raw_data.conditions
2026-03-25 16:15:50 | INFO     | pipeline.bq_loader | Loading CSV into BigQuery table: healthcare-test-486920.raw_data.encounters
2026-03-25 16:15:56 | INFO     | pipeline.bq_loader | Loaded 22893 rows into healthcare-test-486920.raw_data.encounters
2026-03-25 16:15:56 | INFO     | pipeline.bq_loader | Loading CSV into BigQuery table: healthcare-test-486920.raw_data.medications
2026-03-25 16:16:02 | INFO     | pipeline.bq_loader | Loaded 16755 rows into healthcare-test-486920.raw_data.medications
2026-03-25 16:16:02 | INFO     | pipeline.bq_loader | Loading CSV into BigQuery table: healthcare-test-486920.raw_data.organizations
2026-03-25 16:16:05 | INFO     | pipeline.bq_loader | Loaded 2130 rows into healthcare-test-486920.raw_data.organizations
2026-03-25 16:16:05 | INFO     | pipeline.bq_loader | Loading CSV into BigQuery table: healthcare-test-486920.raw_data.patients
2026-03-25 16:16:10 | INFO     | pipeline.bq_loader | Loaded 1134 rows into healthcare-test-486920.raw_data.patients
2026-03-25 16:16:10 | INFO     | pipeline.bq_loader | Loading CSV into BigQuery table: healthcare-test-486920.raw_data.procedures
2026-03-25 16:16:16 | INFO     | pipeline.bq_loader | Loaded 46510 rows into healthcare-test-486920.raw_data.procedures
2026-03-25 16:16:26 | INFO     | pipeline.bq_transformer | Creating dataset: healthcare-test-486920.data_slim
2026-03-25 16:16:27 | INFO     | pipeline.bq_transformer | Creating dataset: healthcare-test-486920.helper_tables
2026-03-25 16:16:28 | INFO     | pipeline.bq_transformer | Running: sql/01_patients_slim_creation.sql
2026-03-25 16:16:28 | INFO     | pipeline.bq_transformer | Running query:
-- Slim patients: retain only demographic columns needed downstream; cluster by id for join performance
CREATE OR REPLACE TABLE healthcare-test-486920.data_slim.patients_slim
  CLUSTER BY id
AS
SELECT
  id,
  birthdate,
  deathdate,
  race,
  gender
FROM healthcare-test-486920.raw_data.patients
2026-03-25 16:16:31 | INFO     | pipeline.bq_transformer | Query finished.
